T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
328,Guyana,2015,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2015,"Theft at the national level, rate per 100,000 population",684.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2015,"Total Sexual Violence at the national level, rate per 100,000",50.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Intentional homicide rates per 100,000",16.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Percentage of male and female intentional homicide victims, Male",31.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Percentage of male and female intentional homicide victims, Female",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Assault rate per 100,000 population",106.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2021,"Total Sexual Violence at the national level, rate per 100,000",54.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2022,"Assault rate per 100,000 population",210.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2022,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2022,"Theft at the national level, rate per 100,000 population",364.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
328,Guyana,2022,"Total Sexual Violence at the national level, rate per 100,000",45.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2010,"Intentional homicide rates per 100,000",6.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2015,"Intentional homicide rates per 100,000",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2015,"Percentage of male and female intentional homicide victims, Male",18.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2015,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2018,"Intentional homicide rates per 100,000",6.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2018,"Percentage of male and female intentional homicide victims, Male",12.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2018,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2018,"Assault rate per 100,000 population",11.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2018,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2022,"Intentional homicide rates per 100,000",18.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2022,"Percentage of male and female intentional homicide victims, Male",33.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
332,Haiti,2022,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2010,"Intentional homicide rates per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2010,"Assault rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2010,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2010,"Theft at the national level, rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2010,"Total Sexual Violence at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2015,"Intentional homicide rates per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2015,"Assault rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2015,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2015,"Theft at the national level, rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2015,"Total Sexual Violence at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2022,"Intentional homicide rates per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2022,"Assault rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2022,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2022,"Theft at the national level, rate per 100,000 population",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
336,Holy See,2022,"Total Sexual Violence at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2005,"Intentional homicide rates per 100,000",42.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2010,"Intentional homicide rates per 100,000",73.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2010,"Percentage of male and female intentional homicide victims, Male",136.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2010,"Percentage of male and female intentional homicide victims, Female",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2010,"Theft at the national level, rate per 100,000 population",53.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Intentional homicide rates per 100,000",55.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Percentage of male and female intentional homicide victims, Male",99.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Percentage of male and female intentional homicide victims, Female",10.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Assault rate per 100,000 population",14.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Kidnapping at the national level, rate per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Theft at the national level, rate per 100,000 population",31.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2015,"Total Sexual Violence at the national level, rate per 100,000",16.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Intentional homicide rates per 100,000",38.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Percentage of male and female intentional homicide victims, Male",69.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Percentage of male and female intentional homicide victims, Female",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Assault rate per 100,000 population",25.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Theft at the national level, rate per 100,000 population",24.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2021,"Total Sexual Violence at the national level, rate per 100,000",33.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2022,"Intentional homicide rates per 100,000",35.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2022,"Assault rate per 100,000 population",21.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2022,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2022,"Theft at the national level, rate per 100,000 population",25.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
340,Honduras,2022,"Total Sexual Violence at the national level, rate per 100,000",31.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Percentage of male and female intentional homicide victims, Male",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Assault rate per 100,000 population",122.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Theft at the national level, rate per 100,000 population","1,253.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2005,"Total Sexual Violence at the national level, rate per 100,000",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Assault rate per 100,000 population",145.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Theft at the national level, rate per 100,000 population","1,343.7",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2010,"Total Sexual Violence at the national level, rate per 100,000",12.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Percentage of male and female intentional homicide victims, Male",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Assault rate per 100,000 population",136.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Theft at the national level, rate per 100,000 population","1,083.7",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2014,"Total Sexual Violence at the national level, rate per 100,000",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2015,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2015,"Percentage of male and female intentional homicide victims, Male",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2015,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2015,"Theft at the national level, rate per 100,000 population","1,130.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Percentage of male and female intentional homicide victims, Male",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Theft at the national level, rate per 100,000 population",487.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
348,Hungary,2022,"Total Sexual Violence at the national level, rate per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2005,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2005,"Percentage of male and female intentional homicide victims, Male",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2005,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2005,"Theft at the national level, rate per 100,000 population","1,070.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2005,"Total Sexual Violence at the national level, rate per 100,000",97.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Assault rate per 100,000 population",17.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Theft at the national level, rate per 100,000 population","1,545.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2010,"Total Sexual Violence at the national level, rate per 100,000",68.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Percentage of male and female intentional homicide victims, Male",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Assault rate per 100,000 population",25.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Theft at the national level, rate per 100,000 population","1,217.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2015,"Total Sexual Violence at the national level, rate per 100,000",133.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Percentage of male and female intentional homicide victims, Male",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Assault rate per 100,000 population",32.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Theft at the national level, rate per 100,000 population","1,015.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2021,"Total Sexual Violence at the national level, rate per 100,000",174.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2022,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2022,"Assault rate per 100,000 population",39.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2022,"Theft at the national level, rate per 100,000 population",915.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
352,Iceland,2022,"Total Sexual Violence at the national level, rate per 100,000",166.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Intentional homicide rates per 100,000",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Percentage of male and female intentional homicide victims, Male",5.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Assault rate per 100,000 population",23.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Kidnapping at the national level, rate per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Theft at the national level, rate per 100,000 population",23.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2005,"Total Sexual Violence at the national level, rate per 100,000",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Intentional homicide rates per 100,000",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Percentage of male and female intentional homicide victims, Male",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Percentage of male and female intentional homicide victims, Female",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Assault rate per 100,000 population",23.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Kidnapping at the national level, rate per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Theft at the national level, rate per 100,000 population",26.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2010,"Total Sexual Violence at the national level, rate per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Intentional homicide rates per 100,000",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Percentage of male and female intentional homicide victims, Male",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Assault rate per 100,000 population",25.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Kidnapping at the national level, rate per 100,000",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Theft at the national level, rate per 100,000 population",28.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2013,"Total Sexual Violence at the national level, rate per 100,000",9.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2015,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2015,"Percentage of male and female intentional homicide victims, Male",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2015,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2021,"Intentional homicide rates per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2021,"Percentage of male and female intentional homicide victims, Male",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2021,"Percentage of male and female intentional homicide victims, Female",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
356,India,2022,"Intentional homicide rates per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2004,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2010,"Assault rate per 100,000 population",13.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2010,"Theft at the national level, rate per 100,000 population",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2015,"Assault rate per 100,000 population",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2015,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2015,"Theft at the national level, rate per 100,000 population",10.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2015,"Total Sexual Violence at the national level, rate per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2018,"Assault rate per 100,000 population",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2018,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2018,"Theft at the national level, rate per 100,000 population",19.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2018,"Total Sexual Violence at the national level, rate per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2022,"Assault rate per 100,000 population",12.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2022,"Kidnapping at the national level, rate per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
360,Indonesia,2022,"Total Sexual Violence at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
364,Iran (Islamic Republic of),2004,"Theft at the national level, rate per 100,000 population",159.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
364,Iran (Islamic Republic of),2009,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
364,Iran (Islamic Republic of),2014,"Intentional homicide rates per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
364,Iran (Islamic Republic of),2014,"Percentage of male and female intentional homicide victims, Male",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
364,Iran (Islamic Republic of),2014,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
368,Iraq,2010,"Intentional homicide rates per 100,000",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
368,Iraq,2010,"Percentage of male and female intentional homicide victims, Male",14.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
